name,country,state,language,facebook_pid,facebook_img_url
National University of Singapore,Singapore,Singapore,English,https://www.facebook.com/nus.singapore,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xtp1/v/t1.0-9/11822302_10153501178508540_6995137222862994951_n.jpg?oh=d25648ac30c1145f4d0ee1e7da986cb8&oe=567B6C8E&__gda__=1449690443_92625df79b998e249c26f8fa38c8c46b
Nanyang Technological University,Singapore,Singapore,English,https://www.facebook.com/NTUsg,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10002955_913211612051351_2114764886062731703_n.jpg?oh=2f0bb5b2e007e9d1fde36d43f71353ce&oe=5671E801
Singapore Management University,Singapore,Singapore,English,https://www.facebook.com/sgsmu,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/11000395_1075228805836981_493424147471817726_n.jpg?oh=c9f12390c262c7bd17b2173c998de41c&oe=5662B870
Singapore University of Technology and Design,Singapore,Singapore,English,https://www.facebook.com/sutdsingapore,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/11898644_10153481588805977_1662480005487146869_n.png?oh=2f03e83ab1f717f8ed28786a54125927&oe=5660A08B&__gda__=1450818798_1d7c3b3cf984afb610d0c3ed6c3d2919
Harvard University,United States,Massachusetts,English,https://www.facebook.com/Harvard,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/11150764_10152782631906607_2752130590471220542_n.jpg?oh=bc31b39ccfe249cc46d02fbb371c5687&oe=5668C91F
Stanford University,United States,California,English,https://www.facebook.com/stanford,https://scontent-sin1-1.xx.fbcdn.net/hphotos-prn2/v/t1.0-9/537015_10151995423148418_507508275_n.jpg?oh=dd6499a352f4ce1bb1409d965ff427e4&oe=5666080F
Massachusetts Institute of Technology,United States,Massachusetts,English,https://www.facebook.com/MITnews,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10360460_749695248407442_6939778029944696847_n.jpg?oh=8a32316ba337c4498fb009bf89ed7541&oe=566C3A56
University of Michigan,United States,Wisconsin,English,https://www.facebook.com/universityofmichigan,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xft1/v/t1.0-9/10314751_10152926485200753_7479870328471015565_n.jpg?oh=fce701d3f443d57c35253a4bff72cfcf&oe=567B3A4D
University of Pennsylvania,United States,Ohio,English,https://www.facebook.com/UnivPennsylvania,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/11011184_10154009557518776_1865486909178934427_n.jpg?oh=9abef567eb700e18b0602ca6aad7a6c8&oe=5683879D
University of California Los Angeles UCLA,United States,California,English,https://www.facebook.com/csla.uaac,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10628413_797421166986741_2373514903844128335_n.jpg?oh=c8b4239192a49e91c66cbd7bf4a0e6aa&oe=56769CD1
University of California Berkeley,United States,California,English,https://www.facebook.com/UCBerkeley,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfl1/v/t1.0-9/1620908_10152339601244661_8261478176421863659_n.jpg?oh=5886aa990e042e8ce6c46c863667ae73&oe=56371001&__gda__=1449175620_578d8fa08181f1f10b81e9d51c354955
Columbia University New York,United States,New York,English,https://www.facebook.com/columbia,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xtp1/v/t1.0-9/10906571_10152622669483937_5914297574712884621_n.jpg?oh=16b6b268dab79deda87442c3f9b224a8&oe=5636ED3B
Cornell University,United States,New York,English,https://www.facebook.com/Cornell,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpt1/v/t1.0-9/11924221_10153526606090132_4605746693423161644_n.jpg?oh=d92239ca940da20dfc5100ea78bc3943&oe=567A926D&__gda__=1450205028_f72f44c5834d5af9b8aa14fb92f2ae08
University of Minnesota,United States,Minnesota,English,https://www.facebook.com/UofMN,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1186906_10151625120611270_1207931151_n.jpg?oh=f3f36c50c7241cc750fa449dc9b035ee&oe=566CDBBF
Pennsylvania State University,United States,Ohio,English,https://www.facebook.com/pennstate,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/1661914_10155536719490268_2848050931076667023_n.jpg?oh=8c2c4fb1956a1da1a860a3f86bc4b8de&oe=566F97A4
University of Texas Austin,United States,Texas,English,https://www.facebook.com/UTAustinTX,https://scontent-sin1-1.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/292371_10150970948941930_840260146_n.jpg?oh=54b0d69ee700f89931fc6b2e669ce832&oe=567BBE25
